,gwnoloc,location,Region,RegionName,RegionSummary,Notes
125,522531,"Djibouti, Eritrea",4,Africa,Sub-Saharan Africa,https://en.wikipedia.org/wiki/Djiboutian%E2%80%93Eritrean_border_conflict
126,530520,"Ethiopia, Somalia",4,Africa,Sub-Saharan Africa,
127,531530,"Eritrea, Ethiopia",4,Africa,Sub-Saharan Africa,
128,615600,"Algeria, Morocco",4,Africa,Middle East & North Africa,
129,630645,"Iran, Iraq",2,Middle East,Middle East & North Africa,
130,645690,"Iraq, Kuwait",2,Middle East,Middle East & North Africa,
131,651200,"Egypt, United Kingdom",2,Middle East,Middle East & North Africa,
132,651666,"Egypt, Israel",2,Middle East,Middle East & North Africa,
133,666652,"Israel, Syria",2,Middle East,Middle East & North Africa,
134,666663,"Israel, Jordan",2,Middle East,Middle East & North Africa,
135,678680,"North Yemen, South Yemen",2,Middle East,Middle East & North Africa,
136,700365,"Afghanistan, Russia (Soviet Union)",3,Asia,Central & South Asia,
137,710365,"China, Russia (Soviet Union)",3,Asia,Rest of World,
138,710713,"China, Taiwan",3,Asia,Rest of World,
139,710750,"China, India",3,Asia,Central & South Asia,https://en.wikipedia.org/wiki/Sino-Indian_War
140,710775,"China, Myanmar",3,Asia,Rest of World,
141,710816,"China, Vietnam",3,Asia,Rest of World,
142,731732,"North Korea, South Korea",3,Asia,Rest of World,
143,750770,"India, Pakistan",3,Asia,Central & South Asia,
144,811800,"Cambodia, Thailand",3,Asia,Rest of World,
145,811816,"Cambodia, Vietnam",3,Asia,Rest of World,
146,812800,"Laos, Thailand",3,Asia,Rest of World,
147,816817,"North Vietnam, South Vietnam",3,Asia,Rest of World,
148,820850,"Indonesia, Malaysia",3,Asia,Rest of World,
149,850210,"Indonesia, Netherlands",3,Asia,Rest of World,
150,9006452002,"Australia, Iraq, United Kingdom, United States of America",3,Asia,Middle East & North Africa,
151,6.51E+11,"Egypt, France, Israel, United Kingdom",2,Middle East,Middle East & North Africa,
152,6.52E+17,"Egypt, Iraq, Israel, Jordan, Lebanon, Syria",2,Middle East,Middle East & North Africa,
